ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
3650,1953年（昭和28年）8月に当社の前身であるマスプロ技研工業を創立、1955年（昭和30年）9月に昭和電機工業として当社創業。1961年（昭和36年）7月に現社名に変更。社名の由来は「'''MAS'''terof'''PRO'''duction」（生産の覇者）とされる。本社所在地は愛知県日進市浅田町上納80番地。日本アンテナやDXアンテナなどと共に日本を代表するテレビアンテナメーカーで、日本国内のテレビアンテナはマスプロがトップシェアである。本社には陶磁器、浮世絵を収集した「マスプロ美術館」を併設する。東北の一部を除くテレビジョン放送の完全デジタル化による地デジ化バブル崩壊に対処し、新たな成長発展を実現するため、2011年（平成23年）7月29日、社長の端山が画策していたマネジメント・バイアウト(MBO)による上場廃止の方針が取締役会で承認され、発表された。マスプロ株を買い付ける予定の会社は筆頭株主である株式会社はしやま（端山家の資産運用管理会社）で、MBO成立後はこの会社の完全子会社となり、その後、はしやまを消滅会社としマスプロ電工を存続会社とする吸収合併が行われた{{citepressrelease|titleＭＢＯの実施及び応募の推奨に関するお知らせ|publisherマスプロ電工|date2011-07-29|formatPDF|urlhttp:www.maspro.co.jpirdataoshirase110729.pdf|accessdate2011-08-02}}。
3650,1944年（昭和19年）創業の電気機器メーカーである。同社の分電盤やキャビネットは国内トップシェア。br2009年（平成21年）には豊田自動織機とハイブリッドカー|ハイブリッド車向けの充電スタンドを共同開発した。
3650,1983年から1998年まではパーソナルコンピュータ|パソコン（主にホビーパソコン）および家庭用ゲーム機向けにゲーム開発も行っていたが、1999年にゲーム事業から撤退し、2000年以降からはハードウェア販売に特化している。パソコンゲームに関しては、ハードウェア事業も行っていた強みを生かし、当時ビジネス用途中心に使われていたPC-9801に音楽機能やジョイスティック端子を追加する「アミューズメントボードAMD-98」（1985年2月発売）をリリースし、これに自社ソフトを対応させていた。以後は他社からも対応ソフトが発売されるようになり、PC-9801のホビー用途の拡大に貢献した。後に「'''ノベルウェア'''」というシリーズを生み出したが、これは後のサウンドノベルやビジュアルノベルというジャンルに影響を与えており、当時FM音源が主流だった時代に、いち早くMIDI音源対応のゲームを発売しているなど、小説とサウンドの融合に力を入れていた。斎藤学(作曲家)|斎藤学が音楽を手がけた『38万キロの虚空』は、日本の市販ゲームソフトで、初めてMIDI音源を利用した音楽再生をしたゲームとして知られる。
3650,自作ラジオ愛好家にとっては往年のコンデンサ|バリコンメーカーとして有名。同社製の各種エアバリコンは生産終了から久しくなった今日もなお中古品が高値で売買されるなど根強い人気がある。サーマルプリンター|熱転写プリンター（マイクロドライプリンタ）を製造・販売していた。金色が印刷できるなどの特長で一定の評価を受けていた。また各種スイッチやエンコーダ、センサ、チューナーや送受信ユニットといった高周波デバイス、光通信デバイス、タッチパネルやキーボード(コンピュータ)|キーボードなどの入力デバイス、液晶表示素子、小型プリンター|プリンタ、各種記憶媒体のスロットや3.5インチフロッピーディスク|FDD、コネクタなど、情報技術|IT環境に不可欠な電子部品も製造している。ノートパソコンに用いられる'''タッチパッド|グライドポイント'''や'''ポインティング・スティック|スティックポインタ'''は、いずれもアルプス電気の登録商標である。コーポレートアイデンティティ|CIは「'''美しい電子部品を究めます'''」。グループ企業にはアルプス物流などがある。
3650,物理学・音響学の研究を目的とする小林理学研究所の研究成果を製品化するため、1944年に株式会社小林理研製作所として設立。1960年に社名を現在のリオン株式会社に改める。社名のリオンとは、理学の「理」と音響の「音」を組み合わせた造語で、理学に基づいた音響とそれに関連した分野への開拓を目指す意味が込められている。設立当初はマイクロホンやレコードピックアップに用いられる圧電素子「ロッシェル塩」の生産を行っていたが、1948年に日本初の量産型補聴器を発売。その後、医療用や産業用の計測器を中心に事業を拡大し、現在は医療機器と環境機器の2つの事業を展開する。医療機器事業では、主力製品であるリオネット補聴器のほか、聴力検査に用いられるオージオメータ（聴力検査器）や聴力検査室など、耳鼻咽喉科領域を中心に各種医療機器を生産。環境機器事業では、環境騒音等を測定する騒音計、設備診断等に用いられる振動計のほか、電子デバイス工場等の清浄度管理に使用するパーティクルカウンタ（微粒子計）などの製品を生産している。主要な製品（補聴器、耳鼻科領域の医用検査機器、騒音計、振動計、微粒子計）は、それぞれニッチな市場ではあるが、すべて国内トップシェア。企業理念は「リオンは　すべての行動を通して　人へ社会へ世界へ貢献する」。http:www.rion.co.jpirmessage.htmlトップメッセージ
3650,モトローラ出身のカート・ゲリッシュにより1981年創立。70社以上の主要半導体メーカーより認定された正規販売代理店でもあり、正規製造メーカーでもある。150億個の完成品在庫と20万種類以上の製品群を持ち、主に製造中止品（EOL品）を中心に現行品などの販売を行っている。また、自社ダイ・バンクにダイ換算で12０億個以上のウェーハ在庫を持ち、製造中止品の継続生産（BTO)・再生産による継続供給も提供している。本社のある米国マサチューセッツ州ニューベリーポートを拠点に、現在はイギリス（EMEA拠点）、シンガポール（APAC拠点）、ドイツミュンヘン、中華人民共和国|中国上海市|上海、日本東京都|東京、アリゾナ州チャンドラーに営業オフィスを、そしてメリーランド州ロックビルとミネソタ州バーンズビルにデザインセンターを構えている。
3650,環境試験機とは極温（極冷）、多湿（乾燥）、高圧（真空）などの特定の条件にさらすことで、例えば携帯電話やデジタル時計などの製品の耐久テストを行うための機械のことである。この本業である環境試験機においての市場シェアは日本では約60%、世界規模でもアジアを中心に30%の高水準の占有率を誇る。この他にも計測システム事業や、FPD装置の生産も行っている。エスペックでは、植林活動を行ったり緑をテーマにした仕事場作りを意識した施設を建設したりするなど、自然環境への配慮を意識した動きが見られる企業でもある。またバイオテクノロジーを応用した、土を使わず水と光だけで作る野菜作りなどの取り組みも行っている。2005年には本業の環境試験装置の技術を応用した半導体洗浄装置事業をアイシーエフ(京都府)|アイシーエフ株式会社（京都市、2009年1月事業停止、同年5月破産。東京都の同名企業（現・オーベン）とは無関係）から買収、エスペックICF株式会社（本社・京都府久世郡久御山町、のちエスペックセミテクノロジ株式会社に改称）を設立したものの全く事業がうまく行かず、わずか約2年後の2007年の10月に同社を解散し（2008年2月12日清算終了）、同事業から撤退することが同年9月に決定された。これにより約4億3000万円を特別損失として計上、それを受けて同年の8月まで1800円台で安定していた株価はわずか1か月後の9月には一気に700円台までに暴落。代表取締役社長の交代にまで陥った。メインバンクがりそな銀行（旧・大和銀行）であることから、同行が中核になって結成された企業集団・大輪会の会員企業であるhttp:izumisano-kyuryo.jpdairinkai大輪会（だいりんかい）とは-http:izumisano-kyuryo.jp泉佐野丘陵緑地公式サイト内のページ。。
3650,KOAは抵抗器の分野において世界1位の売上を有し、国内でも1位のシェアを持っている。抵抗器の他にサーミスタやコイル|インダクタ、電力ヒューズ|ヒューズ、バリスタ(電子部品)|バリスタの分野でも高いシェアを誇る。
3650,*電気機器（プリント基板、電子部品など）、自動車部品（セラミックフィルター）等の、加工、検査の専門の会社である。*殆どはイビデンからの受注であるが、近年イビデン以外の会社の受注が増えつつある。
3650,主力商品はオフィスで使用される自動お茶いれ機、自動販売機、電気温水器、ヒートポンプ給湯器であった。需要の低迷により缶自動販売機は終息させ、電気温水器事業はキヤリア(会社)|東芝キヤリア株式会社に事業譲渡、カップ式自動販売機はサンデン株式会社に事業譲渡、自動お茶いれ機は凰商事株式会社に事業譲渡し、2011年3月末をもって事業を終息させた。
3650,1954年（昭和29年）に初めてストロボスコープを開発した老舗のメーカー。キセノン放電管も内製化している。トルクメータ、アンデロンメータなど、モーターやベアリング関連の計測機器も開発、販売している。近年は特性の優れたLEDの出現で、安価な小型のストロボスコープを製造するメーカーも現れるようになり、そのような分野ではシェアを奪われる結果となっているが、大出力を必要とする鉄鋼用など、産業用途では広く支持されており、菅原研究所にもLED採用製品がある。島津製作所の開発した高速度ビデオカメラ、HyperVisionHPV-1でも、菅原研究所の超高速度ビデオカメラ用フラッシュESD-VF2M-U2が採用されている。
3650,"1975年（昭和50年）11月25日、名幸電子工業として創業name\""meiko\""http:www.meiko-elec.comcorporateoutlinehistory.html沿革メイコー株式会社。海外での生産拡大を進めておりhttp:www.sangyo-times.jparticle.aspx?ID1054（株）メイコー　代表取締役社長　名屋佑一郎氏電子デバイス産業新聞2014年5月2日、中華人民共和国|中国やベトナムなど国内外に合わせて7工場、関連会社10社を持つname\""ishinomaki20130518\""。2000年12月、ジャスダックに上場name\""meiko\""。2011年の東日本大震災によって宮城県石巻市の宮城工場が津波により浸水。山形県西村山郡河北町の山形工場にも被害が出たほか、福島県双葉郡広野町にある福島工場は直接の被害はなかったものの、福島第一原子力発電所事故の影響により、操業停止に追い込まれた。とりわけメイコーの国内生産拠点の中核を担う福島工場の被災により経営に打撃を受けたhttp:toyokeizai.netarticlesamp6106?displayb&amp_eventread-bodyメイコーの宮城、福島工場は被害深刻、復旧のメドはたたず。山形工場は損傷軽微【震災関連速報】東洋経済新報2011年3月14日。宮城工場は2013年5月に操業を再開。落成式典には亀山紘石巻市長、若生正博副知事らが参加したname\""ishinomaki20130518\""http:ishinomaki.kahoku.co.jpnews20130520130518t13003.htm電子部品生産拠点・メイコー石巻、工場落成　２０日の操業再開祝う石巻かほく2013年5月18日。福島工場は2011年7月に操業を再開し、2014年、工場内の遊休地を活用してメガソーラー事業に参入したhttp:techon.nikkeibp.co.jparticleNEWS20140325341843?STSPメイコー、福島県広野町の工場内にメガソーラー建設日経テクノロジー20140325。メガソーラー発電所は、東京電力から得た賠償金をほぼ全額を投資して建設したもので720世帯分の電力を供給するhttp:www.itmedia.co.jpsmartjapanspv150615news027.html福島第一原発から22キロの工場、1万枚の太陽光パネルで720世帯分の電力スマートジャパン2015年6月15日。2015年11月、東芝、いおう化学研究所とともに「分子レベルで接合する画期的なフレキシブルプリント配線板の開発と量産化」について、「第6回ものづくり日本大賞経済産業大臣賞」を共同受賞したhttp:www.businesswire.comnewshome20151102005640ja東芝：『第6回ものづくり日本大賞経済産業大臣賞』受賞についてビジネスワイアーNovember022015。"
3650,1966年2月7日に千葉県市川市でCB無線|CB無線機を製造販売する'''ユニ電子産業'''として創業。日本で開発、アジア（台湾やフィリピン）で製造、米国で販売するというビジネスモデルで、また、コードレスフォンの商品開発に他社に先駆けて成功することで成長を遂げた。かつて主力製品であったコードレスフォンは、北米、オーストラリアを中心に販売を展開していた。
3650,九州3県および山口県にあったNECエレクトロニクスの製造子会社（かつては1工場1子会社であった）5社が2度の再編を経て統合して'''NECセミコンダクターズ九州・山口'''となった。2010年4月1日に、親会社であるNECエレクトロニクスがルネサステクノロジと合併してルネサスエレクトロニクスとなったのに伴い、ルネサスセミコンダクタ九州・山口株式会社に変更した。2014年4月1日に、ルネサスエレクトロニクスが生産子会社を再編・集約。後工程製造を当社が担うこととなり、現社名に変更した。現法人の創業の地である川尻工場は、この再編でルネサスセミコンダクタマニュファクチュアリングに移管された。
3650,2000年1月18日に日本電気と三菱電機のディスプレイ部門の合弁事業|合弁により設立され、設立当初の従業員700名については旧日本電気ホームエレクトロニクスと三菱電機の双方から出向していた{{Citepressrelease|titleＮＥＣと三菱電機、ディスプレイモニター合弁会社を設立|urlhttp:www.nec.co.jppressja00012802.html|publisher日本電気株式会社|date2000-01-28|accessdate2019-02-10}}。2005年3月31日をもって三菱電機との合弁を解消するも両社の協力関係は維持されると発表した{{Citepressrelease|titleディスプレイモニタ合弁事業の発展的解消について|urlhttp:www.nec.co.jppressja05022104.html|publisher日本電気株式会社|date2005-02-21|accessdate2019-02-10}}。翌日4月1日付で「NECディスプレイソリューションズ株式会社」へ社名変更した。2007年1月26日、同年4月1日付でのNECグループのプロジェクター製造会社であるNECビューテクノロジーとの合併が発表された{{Citepressrelease|title映像表示事業会社の合併について|urlhttp:www.nec.co.jppressja07012603.html|publisher日本電気株式会社|date2007-01-26|accessdate2019-02-10}}。登記上はNVTにNDSが吸収される形での合併であり、旧NDSは解散となるが、合併と同時にNVTが以前と同じ「NECディスプレイソリューションズ株式会社」（2代）に社名を変更したため、社名が残ることとなった。
3650,元来はNECの100%出資による液晶ディスプレイ製造子会社であった。2011年にNECが保有株式の一部を売却したことで、深セン中航光電子との合弁企業となったが、その後NECの持分法適用対象外となっている。現在は天馬微電子（中国・深セン市）の傘下にある。
3650,当社は、自動運転技術やロボット開発を研究するベンチャー企業であるnameEDINET_20161114nameNikkei_201611141927。2016年12月にマザーズ|東証マザーズ市場へ上場するnameEDINET_20161114。ソニーと提携しているnameNikkei_201611141927ほか、コマツやインテルから出資を受け入れるなどの資本提携関係もあるnameNihon_keizai_Shimbun_20161111_morning_P11。DeNAと業務提携していたが、2017年1月、業務提携を解消したhttp:dena.comjppress201701061DeNAとZMPの自動運転に関わる業務提携解消のお知らせDeNAプレスリリース2017年1月6日。
3650,古河電気工業の100%子会社でAT・機能樹脂製品事業部に属し屋根断熱材フォームエース、保温断熱古河パイプカバーや超微細発泡光反射板MCPET、無架橋低発泡ポリプロピレンシートエフセル、リサイクル樹脂製品など古河電気工業製品の加工販売と自社製品としての保温断熱パイプカバー及びポリエチレン真空成型品及び電磁波シールドガスケット、導電テープを主とするイーバリアーの製造販売を行っている。またグループ会社からの供給を受け、スポーツ用ポリエチレンマットの輸入販売も行っている。
3650,経営不振に陥っていた三洋電機の最初の事業売却として液晶事業の合弁会社設立。出資比率はセイコーエプソン55%、三洋電機45%だったが、合弁会社設立時点での代表取締役は三洋電機出身であった。セイコーエプソンの液晶事業2002年にプリンター事業が大幅に赤字を出した時以外は全て赤字であった。事業内容としてもPLDとTFDしか保有しておらず、アモルファスTFTとLTPSを所有する三洋電機の液晶事業は非常に魅力的であった。2004年三洋電機とセイコーエプソンの合弁事業|合弁会社として三洋エプソンイメージングデバイス株式会社を設立。その後セイコーエプソンが子会社|完全子会社化しエプソンイメージングデバイス株式会社に商号を変更した。2017年2月1日にセイコーエプソンに吸収され消滅したhttps:www.epson.jposirase2016161130_3.htm　「連結子会社の吸収合併（簡易合併・略式合併）および債権放棄について」2016年11月30日　セイコーエプソン株式会社　2018年11月27日閲覧。
3650,閃光電球（フラッシュバルブ）、ストロボ（エレクトロニックフラッシュ）のメーカーとして著名だったウエスト電気が改称したもの。閃光電球時代は積極的な営業活動を展開していたが、ほどなく松下電器産業（現・パナソニック）の傘下に入り、そのパナソニック|ナショナルブランドでの販売と、キヤノンを始めとした大手カメラメーカーへのOEM供給が事業となった。その後ストロボ内蔵のポケットカメラやコンパクトカメラの設計、製造に進出。{{仮リンク|ビビター|en|Vivitar}}やミノルタ、ライカなどに供給した。特にナショナルブランドで発売していたチャンスという愛称のコンパクトカメラやストロボはコンデンサを2本搭載することにより、充電時間を大幅に短縮できる機種もあった。この時期のヒット商品にナショナルC-R1がある。これはストロボとAMラジオを内蔵したインスタマチック#ポケットインスタマチック|ポケットカメラで、ラジオ用にスピーカーまでも備えていたため、ポケットカメラとしては筐体が大きめではあった。近年はLUMIXDMC-LS1やDMC-LC70など、パナソニックのデジタルカメラを設計、製造する一方、液晶ディスプレイのバックパネルに使われる冷陰極管|冷陰極蛍光灯やそれを使ったバックパネル、発光ダイオード|LEDを使用したバックパネルも製造していた。パナソニックブランドによる単体ストロボの販売も行なっていたが、2010年9月に生産から撤退した。2000年代前半から数回のリストラを実施したが、業績は改善していない。
3650,新興のパーソナルコンピュータの開発メーカー。ソーテックの前身として同名があるが、これは現在の工人舎の創業者が、元ソーテック創業者の大邊創一であり、前社起業時の志に立ち返り、ソーテックを離れ現工人舎を起業したためである。当初は横浜に本社をもっていた。台湾の製造メーカーのインベンテック社（英業達|英業達集団）と提携し製品を開発している。2005年より、ノートパソコンの販売をはじめた。2006年11月に、KOHJINSHASAシリーズを発表し、シンプルな構成や軽量さ、価格の割りに高いスペックなどが話題となり、マニア層の注目を集める。2009年5月にインベンテック社の子会社となったhttp:www.emsodm.comhtml200902251235549224117.html工人舎、インベンテックの子会社へ2009-02-25。工人舎の親会社インベンテックと資本・業務提携を結んだオンキヨーhttp:jp.onkyo.comirir_pdf20100124_JQIR_iec.pdfインベンテック・コーポレーションとの資本・業務提携の経過ならびに合弁会社（当社子会社）の設立に関するお知らせ2010-1-24との協業を行なうことが2009年12月に発表され、同社が工人舎のパソコンを改良し発売することとなったhttp:www.asahi.comdigitalcnetCNT200912100074.htmlオンキヨー、工人舎と協業--デュアルディスプレイ搭載ミニノートPCなど3製品発表。2010年6月、インベンテック開発株式会社と社名変更。2011年3月、インベンテック100%出資となる。代表取締役李　詩欽、竜　一兆、取締役楊　信華。http:jp.kohjinsha.comcompanyindex.html
3650,ゼネラル・エレクトリック(GE)と株式会社横河電機製作所（現横河電機株式会社）の合資会社として、横河メディカルシステム株式会社(YMS)を設立。その後、GEが出資比率を70%（2009年7月現在同率）に引き上げ、1994年にGE横河メディカルシステム(GEYMS)へと、さらに2009年8月にGEヘルスケアバイオサイエンス株式会社と合併しGEヘルスケア・ジャパン(GEHC-J)と改称する。現地法人にありがちな、製造のみ、輸入のみという業務形態ではなく、多くの製品の開発・製造を担当している。単純X線撮影、コンピュータ断層撮影|CT核磁気共鳴画像法|MRI超音波検査|超音波画像診断装置（いわゆるエコー）、麻酔、循環器、生体情報モニタ（バイタルサインモニタ）など、多くの製品を扱っている。
3650,1930年に前身である石油探査会社ジオフィジカルサービス(GSI)として米国テキサス州に設立。1951年にGSI社のエレクトロニクス部門を中心に再編成が行われ、テキサス・インスツルメンツ社と改称。1950年に世界初のシリコン型トランジスタを製品化、1954年にI.D.E.A.社とトランジスタラジオを開発、1958年に集積回路を発明、1967年に携帯型IC電卓を発明。1970年にTransistor-transistorlogic|TTL汎用ロジックICとして広く普及する7400型を発表。1973年にマイクロコントローラの特許を取得。その後、世界25ヶ国以上に製造・販売拠点を有する国際的な半導体企業であり、デジタル情報家電、ワイヤレス、ブロードバンド市場に欠かせないデジタル信号処理を行うデジタルシグナルプロセッサ|DSPと、それに関連する集積回路#アナログ集積回路|アナログIC、マイクロコントローラを主力製品としている。2018年現在、アナログICの世界最大手。1958年当時TIの研究者であったジャック・キルビーが発明した集積回路|ICについての基本特許の特許権を保有しており、ICが広く普及した1980年代になって日本をはじめとする著名な半導体企業（日本電気(NEC)、日立製作所、富士通等）に対して高額な実施料を要求、特許侵害訴訟に発展した。これに対し、富士通を除く各社はTIと和解し、多額の実施料を支払うこととなった。また、自社製ミニコンピュータを使い、ICの発明と共に、アナログ及びディジタルIC（SSI級）用初のICテスターも開発販売した。他にも家庭用から関数電卓まで各種の電卓を発売している。特に、TI-89シリーズなどは、大学進学時のSAT(大学進学適性試験)|SATで使用が許可されているため、学生の間ではSATでの必需品と考えられている。このためグラフ表示対応関数電卓は、アメリカの高校生や大学生の間では非常に普及している。日本では関数電卓については、株式会社ナオコが正規の代理店になっているため保証付きで入手可能。近年ではプロジェクタ|プロジェクター、リアプロジェクションテレビ用の映像素子であるデジタルミラーデバイス|DMD（DigitalMicromirrorDevice）を開発し、DLP（DigitalLightProcessing）プロジェクターの盟主として知られている。米国市場でサムスン電子などがプロジェクターに採用していることでも知られる。DSPやマイコンなどの主力製品以外にも、汎用ロジックIC、アンプ、オペアンプ、開閉器|スイッチ、マルチプレクサ、CMOSイメージセンサ、CCDイメージセンサ、低損失レギュレータ|レギュレータ、発振回路|クロック、IEEE1394|IEEE1394コントローラ、RFID|RFIDシステム、セキュリティチップ、バスソリューション、コンバータ、各種汎用アプリケーションの開発を行っている。1997年頃から、ソフトウェア部門をスターリングへ、防衛部門をレイセオンへ、制御機器部門をセンサータへと順次売却を進め、現在これらを作っていない。2000年9月、米w:en:Burr-BrownCorporation|バーブラウン社を76億ドルで買収した。2011年9月23日、米ナショナルセミコンダクター社(NS)を合併し、シリコンバレー部門とした。
3650,同社は、計測機器である、光センサ＆計測器・インライン試験装置やコンピュータ周辺機器のスキャナ・インクジェットプロッタ・カッティングプロッタなどを製造販売を行っている。東京、横浜、大阪にはショールームも擁している。
3650,創業者は永守重信。精密小型電動機|モーターの開発・製造において世界一のシェアを維持・継続している。東京証券取引所第一部上場、証券コード6594。
3650,1961年に、東亜特殊電機株式会社（現TOA(企業)|TOA株式会社）が発足した研究室が大元である。その後1968年に前身となる東亞医用電子株式会社（東亜特殊電機株式会社の販売会社）が発足、1978年にSysmexブランドが確立され、主に血液分析装置の開発を行った。1998年にそれまでのブランド名を使用し、シスメックス株式会社と社名を変更する。現在は尿検査装置、免疫検査用試薬などを手がけ、特にヘマトロジー、血液凝固検査、尿沈渣検査では既にグローバルトップシェアを有している。遺伝子分野を次の成長源に据える。神戸市西区(神戸市)|西区の西神戸工業団地に研究所が、加古川市に工場がある。
3650,*本社所在地：滋賀県野洲市市三宅656*設立：2003年12月25日*資本金：1000万円*代表取締役会長：中村昇*代表取締役社長：宮田秀典
3650,ロータリエンコーダのインクリメンタル形の販売台数は2012年現在でシェアNo.1のトップメーカーである。直径7.2mm～126mm程度までの幅広い製品を持つ。2012年5月に福島県中通り県南地方にある白河工場がロータリーエンコーダーの累計生産一千万台を達成した福島民友2012年5月13日付フジサンケイビジネスアイ2012年5月19日付。単独工場としては国内では初めてで、業界団体の一般社団法人日本電気制御機器工業会は「おそらく世界初ではないか」としている福島民報2012年5月12日付。
3650,"|従業員数102名（2009年）name\""日経BP\""{{Citeweb|author大豆生田崇志|date2009-01-16|urlhttp:business.nikkeibp.co.jparticletopics20090113182565|title【隠れた世界企業】世界初の有機ELカーナビ（時事深層）|work日経ビジネス|日経ビジネスオンライン|publisher日経BP|language日本語|archiveurlhttps:web.archive.orgweb20111103052358http:business.nikkeibp.co.jparticletopics20090113182565|archivedate2011-11-03|accessdate2019-03-02|deadlinkdate2019-03-02}}|代表者代表取締役会長関和博br代表取締役社長中城正一|売上高10億2000万円（2008年10月期）name\""日経BP\""|資本金2億1725万円name\""会社概要\""|外部リンクhttp:www.trywin.co.jp}}'''株式会社トライウイン'''（{{Lang-en-short|TrywinCo.Ltd.}}）は、神奈川県横浜市港北区に本社を置く日本のデジタル機器開発メーカーであるname\""日経BP\""。PND|ポータブルナビゲーションブランドの「if（イフ）」、ワンセグチューナー、携帯電話二次電池|バッテリーなどの開発を手掛けていたname\""日経BP\""。カー用品販売店を経営していた関和博と、松下電器産業の営業マンとして店に出入りしていた中城正一によって2005年5月に設立name\""ダイヤモンド\""{{Citeweb|author鈴木洋子|date2012-04-23|urlhttp:diamond.jparticles-17418|title生産・開発を外部委託して低価格を実現大手企業と真っ向勝負する小さな巨人トライウイン会長関和博（起業人）|work週刊ダイヤモンド|ダイヤモンド・オンライン|publisherダイヤモンド社|language日本語|accessdate2016-03-24}}。2006年に自社ブランド「if（イフ）」を立ち上げ、PND|ポータブルナビゲーションシステムを発売したname\""ダイヤモンド\""。「固定費を持たない変動費経営」を打ち出し、自社では製造工場や開発技術者を持たず（ファブレス）、台湾や大韓民国|韓国の工場・技術者と契約を結ぶことによって固定費を極小化させ、他社と比較して低価格および開発スピードが早いことを特徴としていたname\""ダイヤモンド\""。2009年現在の従業員は102名であったが、そのうち正社員は17名で、残りは契約社員で台湾・韓国の博士|博士号を持つ技術者であったというname\""日経BP\""。製造は日本・中華人民共和国|中国・韓国・台湾の延べ18社の工場に委託していたname\""日経BP\""。カーナビゲーション|カーナビに有機エレクトロルミネッセンス|有機ELのタッチパネルを世界で初めて採用した企業でありname\""日経BP\""name\""ダイヤモンド\""、車載用デジタルチューナーでは三菱自動車工業|三菱自動車の純正品供給メーカーとして採用されていたname\""ダイヤモンド\""。通信販売|テレビ通販に強みを持つとされname\""ダイヤモンド\""、2010年1月のポータブルナビゲーションメーカー別販売台数市場占有率|シェアは11.3%であった{{Citeweb|authorゼンフミシャ|date2010-02-18|urlhttps:www.bcnretail.comnewsdetail100218_16433.html|title「軽い」が売れ筋—市場が広がるポータブルナビ|workBCNRETAIL|publisherBCN(企業)|BCN|language日本語|accessdate2017-01-03}}。2012年に販売したプラズマイオン発生器「blua（ブルーア）」ではイメージキャラクターに平子理沙を起用していた{{Citeweb|urlhttp:trywin.co.jpinfodetail_000127.html|titleBluaイメージガールの平子理沙さんのオフィシャルブログで、クロスプラズマイオン発生機Bluaが紹介されました。|date2012-01-27|work新着情報|publisherトライウイン|language日本語|archiveurlhttps:web.archive.orgweb20150317231907http:trywin.co.jpinfodetail_000127.html|archivedate2015-03-17|accessdate2016-03-24|deadlinkdate2016-03-24}}{{Citeweb|author平子理沙|authorlink平子理沙|urlhttp:ameblo.jprisa-hirakoentry-11146641157.html|titleblua（ブルーア）|date2012-01-26|work平子理沙オフィシャルブログ「Candytalk」|publisherアメーバブログ|language日本語|accessdate2016-03-24}}。2014年10月に本社を横浜市港北区新横浜の「アプリ新横浜ビル」name\""会社概要\""から「新横浜第1竹生ビル」name\""本社移転\""に移転したが、2018年3月現在公式サイトが閲覧できなくなっている。"
3650,業界随一の低い不良率、斬新な製品機構などの開発によって、平成になってからの創業であるにもかかわらず、創業から13年で業界シェアトップを誇るメーカーまでに成長した。'''KODEN'''のブランドで家電製品が量販店で広く販売されている。同社のブランドとしては他に、高級製品に位置づけられる「Lifon」がある。また、2012年からは工業用扇風機の販売を開始した。
3650,File:GreenHouseSDHC.jpg|thumb|right|250px|イオンモールで販売されているbrグリーンハウスのSDHCカード*設立　1991年(平成3年)6月*資本金　96000000円*役員一覧**小沢武史　代表取締役**佐野譲　専務取締役兼執行役員**小澤達夫　取締役兼執行役員**奥寺貴哉　取締役兼執行役員**長谷川久明　取締役兼執行役員**飯村友近　執行役員**石田節夫　執行役員*事業内容　パソコン・スマートフォン関連機器、映像・オーディオ関連機器、キッチン・ライフスタイル関連機器の企画・製造・販売と、ノベルティやデジタルサイネージなどのセールスプロモーション関連製品、無線機器(IoT)、組み込みシステム向けOEM製品の開発・提供。*本社所在地　東京都渋谷区恵比寿1-19-15　ウノサワ東急ビル5F*支店　9ヵ所
3650,1971年7月設立。1986年に社名を新日本測器株式会社からエミック株式会社に変更。振動環境試験装置分野で国内トップクラスの納入実績を持つ。様々な環境下での振動を再現。振動に加えて温度・湿度を変化させる複合試験装置は、エレクトロニクス産業、自動車産業、航空宇宙産業等において品質の向上および新製品の開発に大いに貢献。国内のみならず米国、欧州、アジア各国にも多くの納入実績を持つ。なお、秋葉原でSoundeviceオーディオを取り扱っていたエミックとは全く別の企業で、音響機器の取扱いがなく、このエミック株式会社とは無関係。
