株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
成和株式会社,1953年に創業、1955年に日本橋で設立されたネクタイ製造および卸会社。メーカ直販サイトを開設しており、2007年12月に[http://item.rakuten.co.jp/seiwa-nw/楽天]に、2009年8月より[http://www.necktieshop.jp/自社サイト]によりユーザ直販を行っている。2013年本社を千代田区九段南2-2-3九段プラザビルへ移転。
北九州青果株式会社,[[北九州都市圏]]において唯一[[農林水産大臣]]より許可を受けた青果物卸売業者である。[[北九州市中央卸売市場]]内に本社がある。年間取扱量は約22万トン。なお、創業地は現在[[門司港レトロ]]地区の「海峡プラザ」が建っており、建物脇に北九州青果発祥の地を示す碑が設置されている。
双日マシナリー株式会社,[[総合商社]][[双日]]の機械部門本部事業子会社。
中道機械株式会社,土木建設機械の販売から始まり、修理やアフターサービスなどのメンテナンスその他のサービス業も手がけてきた。[[1963年]]の中道機械製作所の設立より、生コンクリートプラントの自社製作にも積極的に取り掛かる。北海道の公共事業の波に乗り、日本の[[高度経済成長]]期に着実な成長を遂げてきた。北海道各地に支店を展開する。排水処理プラントなど建設関連プラント、立体駐車場などの施設の設計・製作・販売の分野にも進出する。建設機械レンタルにも積極的に参入する。青森、秋田、仙台、山形、東京にも支店を構える。[[バブル崩壊]]後も、しばらくは着実な事業展開であったが、[[公共事業]]の削減に伴い、[[1997年]]1月期売上高321億円計上をピークとして業績にかげりが出てくる。[[2002年]]1月期、[[2003年]]1月期には、純損失を計上する。[[2003年]]1月期には、3年ぶりに純利益を計上するが、売上高は135億円となり、[[1997年]]1月期の半分を下回る。[[2007年]]1月期の売上高は、90億2600円で、ピーク時の30％以下に落ち込む。人員削減や不動産売却などで、事態の打開を図る。[[2005年]]1月期に、また純損失を計上する。同年[[7月14日]]に、[[中道リース]]との合併が内定したが、同年[[8月29日]]に合併が白紙撤回となる。[[2006年]]1月期も、純損失を計上する。[[2007年]]1月期に、3年ぶりに純利益を計上するが、[[2008年]]1月期に、また純損失を計上する。[[2008年]][[2月12日]]、監査法人の監査前日、札幌工場の経理担当の課長の自らの申し出より、不正経理が発覚する。本来費用とすべきところを、資産の部の仕掛品として、合計3億7000万円の架空利益計上とした。札幌証券取引所はこれを重視し、[[2008年]][[3月13日]]に、中道機械の株式を監理ポストに振り分けるが、[[7月28日]]に一旦解除とする。しかし、対外信用は失墜したとまで言われる。[[2008年]]5月にメーンバンクの[[北洋銀行]]から顧問に就いた鍬田信知は、10月21日に代表取締役社長に就任する。[[2009年]][[2月5日]]、[[民事再生法]]を申請し、倒産。負債は、76億5400万円。従業員全員に、1ヶ月の解雇予告が、同日付で出される。
マルカイコーポレーション株式会社,海外から食品、酒類の輸入を中心に、その他雑貨品などを多数に取り扱う。特に国内では米・[[ジッポーZIPPO]]社のオイルライターの日本総代理店として、その名を知られている。この他、同社が本社を置く、大阪市西区内に子会社として酒類専門店「創酒タカムラ」にて同社が扱う食品・酒類を販売している。かつては[[ハワイ]]と[[ロサンゼルス]]の現地法人を通じて、日系アメリカ人、現地在留邦人に向けて会員制[[スーパーマーケット]]を経営したりもしていたが、このスーパーマーケットは、[[2013年]]に[[ドン・キホーテ(企業)ドン・キホーテ]]により買収された。近年は健康志向の高まりから、同社社長の[[松順造]]の名を冠した[[オーガニック]]食品シリーズ「順造選」などがオンライン販売されており、また同社が取り扱う、伊・[[ルスティケーラ]]社からの輸入[[パスタ]]、[[オリーブオイル]]なども[[紀ノ国屋]]、[[成城石井]]などの輸入食品の取り扱いの多いスーパーマーケットで販売されている。元々は大阪で食品商社として、創業したこともあり、現在も食品輸入専業商社としてのイメージが強い。特に国内では取り扱い率が少ない（或いは取り扱われていない）食品や酒類などの[[輸入並行輸入品]]に貼られたラベルなどで、同社の名を知るというケースも多い。
株式会社ストライダーズ,チョコレートの原料となる[[カカオ]]の生産現場では、奴隷労働や[[児童労働]]、森の生態系破壊といった問題が起こっている&lt;ref&gt;[http://www.ilo.org/public/japanese/region/asro/tokyo/ipec/facts/sectorial/agricult/05.htmILO駐日事務所HP「児童労働の実態」]より&lt;/ref&gt;。それらの問題を解決するための取り組みとして、生産者が環境に配慮した方法で高い品質のものをつくり続け、人間らしい生活を送れるよう適正な報酬での取引を行う[[フェアトレード]]という貿易がある。チョコレボは、フェアトレードのチョコレートを中心とした人と地球に優しいチョコレートの普及を通じて、生産者や環境に配慮した製品を選ぶ消費者、そのような製品・サービスを提供する企業の増加を目指すキャンペーンである。そのために、フェアトレードチョコレートの期間限定ショップの展開、フェアトレードチョコレートを使用した商品開発を企業と連携し展開するとともに、セミナーやイベントの開催により消費者の啓蒙を行っている。
株式会社オーシャンローズ,[[バーデンバーデン]]放送局の依頼で[[1959年]]から[[1960年]]にかけて作曲され、同年10月、[[ドナウエッシンゲン音楽祭]]にて[[ハンス・ロスバウト]]指揮[[南西ドイツ放送交響楽団]]により初演された。曲はハインリヒ・シュトローベルに捧げられた。
日精株式会社,"「香り師」の家系に生まれた中学生の主人公・香野院悟（こうのいんさとる）が、[[香]]の分家や本家と対立しながらも、様々なトラブルを[[調香]]の技術を用いて作成した香で解決していくストーリーで、1話完結式。決め台詞は「これにて闇を浄香（じょうか）せん!」。{{Manga-stub}}{{DEFAULTSORT:ちようこうしようねんさとる}}[[Category:漫画作品ちようこうしようねんさとる]][[Category:週刊少年チャンピオンの漫画作品]][[Category:香]]</text><sha1>1xqfl18c7p4bwoshrjm4wxnqsqb71x0</sha1></revision></page><page><title>NPO法人あきらめない</title><ns>0</ns><id>2149902</id><redirecttitle""あきらめない""/><revision><id>33263728</id><timestamp>2010-07-29T11:19:17Z</timestamp><contributor><username>あるふぁるふぁ</username><id>209526</id></contributor><comment>「[[NPO法人あきらめない]]」を「[[あきらめない]]」へ移動:法人格（しかも不正確）を外す（[[WP:NC#団体名]]）</comment><model>wikitext</model><format>text/x-wiki</format><textxml:space""preserve"">#転送[[あきらめない]]</text><sha1>e8fkxrbwbvexgy28fs64s0n8qvgaymp</sha1></revision></page><page><title>秋田県道272号御所野安田線</title><ns>0</ns><id>2149904</id><revision><id>61272313</id><parentid>61171023</parentid><timestamp>2016-09-24T11:16:06Z</timestamp><contributor><username>Yqm</username><id>803361</id></contributor><minor/><comment>[[:Template:Pathnav#使用基準]]「使用にあたってはウィキプロジェクトやウィキポータルなどで事前に合意しておくことが必要です」</comment><model>wikitext</model><format>text/x-wiki</format><textxml:space""preserve"">{{Infoboxroad種別・系統[[都道府県道一般県道]]アイコン{{JaPrefRouteSignpref秋田number272width100}}名前秋田県道272号御所野安田線名前の補足ごしょの・やすだせん副名副名の補足地図画像総延長7.1[[キロメートルkm]]実延長5.9km制定年[[1968年]]開通年廃止年起点[[横手市]]安本字中杉沢&lt;br/&gt;安本入口交差点、[[国道13号]]交点終点横手市安田字ブンナ沢&lt;br/&gt;安田交差点、国道13号交点接続する主な道路[[ファイル:JapaneseNationalRouteSign0013.svg24px国道13号標識]][[国道13号]]&lt;br/&gt;[[ファイル:JapaneseNationalRouteSign0107.svg24px国道107号標識]][[国道107号]]&lt;!--一般県道以上を記載--&gt;}}'''秋田県道272号御所野安田線'''（あきたけんどう272ごうごしょのやすだせん）は、[[秋田県]][[横手市]]を通る[[都道府県道一般県道]]である&lt;refnamerosenmei&gt;{{Harvnb建設部道路課（路線名）2015}}&lt;/ref&gt;。"
越智産業株式会社,[[1955年]]（[[昭和]]30年）創業の中堅住宅建材商社で[[合板]]や建材、住設機器などの卸売販売を行う。[[1999年]]（[[平成]]11年）には、同業の[[クワザワ]]および日本ベニア株式会社（現・株式会社ジューテック）と業務提携を行いネストグループを形成している。また、[[2010年]]（平成22年）[[10月1日]]には[[持株会社持株会社制]]へ移行し[[株式移転単独株式移転]]により持株会社「OCHIホールディングス株式会社」を設立した。
株式会社ミツヤス,株式会社ミツヤスは[[1964年]]（[[昭和]]39年）、[[東京都]][[台東区]][[下板橋]]に石井商店として創業。その後、[[練馬区]][[早宮]]、同区[[旭町(練馬区)旭町]]に移転し[[1968年]](昭和43年)三康商店に社名変更。各種食堂などへの業務用卸販売を始める。[[1973年]](昭和48年)に同区北大泉に移転し、株式会社三康として資本金200万円で設立。[[1982年]](昭和57年)同区[[大泉学園町]]5-7-23(現在の本社)に移転。[[1991年]](平成3年)、資本金を2000万円に増資するとともに、株式会社ミツヤスに社名変更。[[2002年]](平成14年)、[[埼玉県]][[和光市]][[白子]]1-12-1に大型物流センターを完成させ物流機能を移転させた。[[2010年]](平成22年)4月1日、[[旭食品旭食品株式会社]]がミツヤスの全株式を取得し子会社化、現在に至る。
株式会社プロト,左後ろ足立ちの2匹の[[ライオン(紋章学)ライオン]]が[[エスカッシャン(紋章学)盾]]の[[サポーター(紋章学)サポーター]]として描かれており、盾の上には[[オーア(紋章学)金色]]のグルジア王家の[[冠]]が乗っている&lt;refnamekariyasu/&gt;。この冠は、ジョージアの[[主権]]をあらわしている&lt;refnamekariyasu/&gt;。盾自体の色は[[ギュールズ赤色]]で、馬に乗り、槍で頭を貫かれて地を這う[[ドラゴン]]を踏みつける[[アージェント(紋章学)銀色]]の[[聖ゲオルギウス]]が描かれている&lt;refnamekariyasu/&gt;。これは、[[ジョージアの国名国名]]由来の伝承（聖ゲオルギウスの龍退治）を表現したものである&lt;refnamekariyasu/&gt;。盾の下には、白色の[[リボン]]に黒色の[[グルジア文字]]で「団結は力なり」(''{{langlaDzalaErtobashia}}''、{{lang-ka}})という[[モットー(紋章学)モットー]]が書かれている&lt;refnamekariyasu/&gt;。
ジェイアール東海商事株式会社,[[東海旅客鉄道]]（JR東海）の[[子会社]]として[[1988年]]（[[昭和]]63年）に設立。基幹建設資材の開発・販売やオフィス用品、食材などの調達・販売などを行っている。JR東海と[[東海旅客鉄道#関係会社JR東海グループ]]会社の社員専用サービスを提供しており、[[三菱UFJニコス]]と提携してJRTCカード（[[クレジットカード]]）、ENEOSASSOCカード（給油専用カード）の発行を行っている。[[2009年]]（[[平成]]21年）[[10月]]には[[愛知県]][[常滑市]]の遊休農地約8600[[平方メートルm&lt;sup&gt;2&lt;/sup&gt;]]を地元農家から借り入れ、[[レタス]]や[[トマト]]を[[水耕栽培]]するガラスハウス3棟を建設し「常滑農場」を開園した。この農場で収穫されたレタスやトマトは、[[2010年]]（平成22年）[[4月1日]]より「のぞみ畑」というブランドで[[名古屋駅JR名古屋駅]]構内の一部店舗で販売されている[[サンドイッチ]]や[[サラダ]]の具として、[[名古屋マリオットアソシアホテル]]や[[名古屋ターミナルビル#テナントホテルアソシア名古屋ターミナル]]（営業終了）などの飲食店舗で使用されており、[[ジェイアール名古屋タカシマヤ]]の野菜売り場で販売する&lt;ref&gt;[http://jr-central.co.jp/news/release/nws000489.htmlのぞみ畑デビュー!]JR東海・ニュースリリース.（2010年3月18日）&lt;/ref&gt;とともに、同農園から獲れたトマトや人参を使った[[フリーズドライ]]のスープが[[東海キヨスク]]の一部店舗にて販売されている&lt;ref&gt;[http://www.kiosk.co.jp/whats_new/data/upload/docs/1446113401/151027_tomato.pdfキヨスクの部店舗で「のぞみ畑のトマトスープ」販売開始!]東海キヨスク・ニュースリリース.（2015年10月28日）&lt;/ref&gt;&lt;!--商品表示の「販売者」の名義がジェイアール東海商事と表記。--&gt;。また、かつて「Lini」というブランド名の[[清涼飲料水]]をJR東海の駅構内などで販売していた。
株式会社グランケープ,[[訓練生]]として入校できるのは、兵庫県洋菓子協会の会員事業所の従業員とし、昼間仕事をしながら兵庫県洋菓子協会の実技指導員を講師とし、訓練生を派遣する事業所は職場訓練を分散訓練として訓練生の指導を行う[[職業訓練指導員]]免許（パン・菓子科）取得者がいることを条件にしている。カリキュラムは、[[職業能力開発促進法]]に基づく[[職業訓練#普通職業訓練普通職業訓練]]普通課程パン・菓子製造科を採用し、履修は集合訓練と、各事業所において実施する分散訓練で併せて1400時間になる。訓練期間は1年とし、校内での集合訓練は、5月中旬より10月下旬までの間に毎週5日間午後6時から午後9時30分まで実施している。修了後の資格特典等として[[技能検定]]2級学科試験免除などがあり、受検資格年限短縮をうけるほか、在校中に校内で技能検定2級試験の受検も可能にしている。[[厚生労働省]]令で定める修了証書の他、[[技能照査]]合格者には県知事より[[技能士補]]の合格証明が出され、また、技能士補となったあと実務経験6年以上経て、48時間講習を受講し修了した者は、[[職業訓練指導員(パン・菓子科)パン・菓子科]]の職業訓練指導員免許を申請可能。さらに職業訓練指導員免許を取得していると1級技能検定受検の際、学科試験は免除をうける。*所在地：神戸市灘区鹿ノ下通1丁目2番16号
グレートアンドグランド株式会社,四国電力4ヶ所目（2001年に廃止された[[松山発電所松山火力発電所]]を含む）の火力発電所として[[1970年]]（昭和45年）1月に1号機[[ガスタービン]]が運転を開始、以後は[[汽力発電]]方式の1号機から4号機までが建設された。[[番の州臨海工業団地]]内に位置する四国電力最大の火力発電所である。工業団地内の企業から送られてくる[[重油]]、[[原油]]、[[コークスコークス炉]]ガスを燃料としているが、[[2004年]]にLNG（[[天然ガス]]）導入が決定し&lt;refname&quot;LNG導入計画&quot;&gt;[http://www.yonden.co.jp/press/re0401/j0ypr011.htm坂出市番の州地区におけるLNGの導入について2004年1月28日]&lt;/ref&gt;、4号機をLNG焚きに改造、1・2号機は旧設備を廃止し高効率[[コンバインドサイクル発電]]設備へ更新する工事が行われ、[[2010年]]8月1日に（新）1号機が&lt;refname&quot;1gouki&quot;&gt;[http://www.yonden.co.jp/press/re1008/1176784_1443.html坂出発電所1号機の営業運転開始について2010年8月1日]&lt;/ref&gt;、[[2016年]]8月1日に（新）2号機がそれぞれ運転を開始した&lt;refname&quot;2gouki&quot;&gt;{{PDFlink[http://www.yonden.co.jp/press/re1608/data/pr002.pdf坂出発電所2号機の営業運転開始について2016年8月1日]}}&lt;/ref&gt;。
太陽鉱工株式会社,近畿自動車道敦賀線（現在の[[舞鶴若狭自動車道]]）の建設に伴う事前調査により古墳が確認され、[[1988年]]（昭和63年）に公表された。それまでは古墳の存在は知られていなかった。この発見により古墳の保存が要望され、舞鶴若狭道は現場の工法を切り通しからトンネルに変更され、墳丘は保存されることとなった。墳丘は3段構成であり[[由良川]]の河原石が[[葺石]]として敷き詰められていた。墳丘の1段目と2段目の平坦部には[[円筒埴輪]]が並べられていた。[[発掘調査]]では家形・短甲形等の形象埴輪や土師器が出土している。埋葬施設は中央・北・南の3か所確認された。うち中央主体部と北側主体部には木棺が収められ、中央主体部からは[[短甲]]、[[衝角付冑]]、[[直刀鉄刀]]等の武器・武具類、農工具、鏡、玉類等の副葬品が出土した。北側主体部からは短甲、衝角付冑、鉄刀等の武器・武具類、鏡、玉類等に加え、38本の矢が収められた胡が出土している。被葬者は由良川の中流域を治めていた王であるとされる。中央と北側の主体部の被葬者の関係は兄弟であるのか親子であるのかは不明である。従者を埋葬したと推定される南側主体部には農工具等が副葬されていた。古墳の保存が決定されると、綾部市は私市円山古墳環境整備構想を策定し、葺石が敷き直され、円筒埴輪のレプリカが並べられ、周辺に広場やあずまやを設置するなど古墳公園として復元・整備され、[[1993年]]（平成5年）5月に「私市円山古墳公園」として開園。[[1994年]]（平成6年）に国の[[史跡]]に指定された。[[2014年]]（平成26年）8月には、京都府北部を襲った[[集中豪雨豪雨]]によって、墳丘の北西側中腹部が幅10mにわたって崩落する被害を受けた&lt;ref&gt;[http://www.kyoto-np.co.jp/top/article/20140818000069国史跡の円墳崩れる京都・綾部、府北部豪雨被害]京都新聞、2014年8月18日&lt;/ref&gt;。
協同組合オールジャパンメガネチェーン,全国に展開するメガネボランタリーチェーンとして、[[1958年]]に設立されて以来「ビジョンケア」を理念として掲げている。そもそもビジョンケアとは、「顧客の視力の総合的なサポート」と定義している。組合の活動としては、各種会議・勉強会などの開催を通じて加盟店同士での経営強化やサービス向上を図っている。商品事業は、組合の規模を生かした共同仕入れ・組合独自の新商品開発・商品の最新情報提供をしている。販促事業は加盟店が協力することで、PR費用を安くすることに成功している。
トイズハート株式会社,2011年、[[アメーバピグ]]の[[ワールドプロレスリング]]エリアにて、[[兎年]]にちなんで[[ウサギ]]をモチーフとしたキャラクラーとして登場する。2月20日、実際の覆面レスラーとして初参戦（所属ユニットは[[CHAOS(プロレス)CHAOS]]）。3月20日、再登場したが前回登場した選手とは体型が全く異なっていた。4月3日、前述の2人がタッグを組んで参戦した（1号2号などの区別は特にない）。以降は、2人どちらかか、もしくは同時にスポット参戦している。6月18日、[[邪道(プロレスラー)邪道]]&amp;[[外道(プロレスラー)外道]]に裏切られて2匹ともCHAOSから追放された（以降は本隊と共闘している）。11月12日に、小さい方が大阪府立体育会館で同じラビットのマスクを被った[[タマ・トンガ]]とタッグを組み、邪道&amp;外道組と対戦したが最後は外道のコンプリートショットで敗れた。敗れる際、トンガ共々マスクを剥がされている。12月4日愛知大会、[[カール・アンダーソン(プロレスラー)カール・アンダーソン]]と組み、因縁の邪道&amp;外道組と対戦。もちつきドロップで外道からピンフォール勝ちを収めた。試合後、コメントで月に帰ることを告げ、12年後に再び新日本マットに来ることを約束した。
株式会社マツザワ,[[自動車]]の不適切な放置状態を解消することを目的としている。[[横浜市]]で1991年9月に「横浜市放置自転車及び沈船等の発生の防止及び適正な処理に関する条例」が制定され、10月1日に施行されたのが最初である。
株式会社オテロジャパン,*起点：静岡市清水区駒越（駒越西1丁目交差点および駒越西交差点、[[国道150号]]交点）*終点：静岡県清水区富士見町（万世町(まんせいちょう)交差点、[[国道149号]]交点）*陸上距離：5.1[[キロメートルkm]]*通称：市立病院通り[[日本平]]の東麓沿いを南北に通る道路である。[[2018年]][[3月25日]]、南側の[[清水バイパス]]に接続するための延長220m&lt;ref&gt;{{Citewebdate2010-12-24urlhttp://www.kentsu.co.jp/shizuoka/news/p03306.htmltitle【静岡】静岡市県道駒越富士見線年度内に公告publisher建通新聞accessdate2011-05-17}}&lt;/ref&gt;が開通した&lt;ref&gt;{{Citeweburlhttp://www.at-s.com/news/article/local/central/465497.htmltitle国道150号、中島高架橋が24日開通通勤時渋滞緩和へ静岡date2018-03-08accessdate2018-03-21publisher静岡新聞}}&lt;/ref&gt;。バイパスの下り線（海側）に接続するためには[[防波堤]]としても機能しているバイパス本線に穴（トンネル）を開けることになるため問題視され&lt;ref&gt;{{Citewebdate2011-05-15urlhttp://www.tbs.co.jp/uwasa/genba/20110515.htmltitle防災逆行工事?防波堤道路にトンネルの穴publisherTBS「[[噂の東京マガジン]]」accessdate2011-05-17}}&lt;/ref&gt;工事が休止していたが、2013年に静岡市が再検証を行い事業が再開された&lt;ref&gt;{{Citenewsdate2015-10-07urlhttp://www.senmonshi.com/archive/02/02BE7Q4eIKYOC0.asptitle【静岡】静岡市の駒越富士見線改良道路擁壁・舗装発注へpublisher地方建設専門紙の会agency建通新聞社accessdate2016-01-31}}&lt;/ref&gt;。
株式会社サクマエンジニアリング,{{仮リンクヴァイセンゼーenWeissensee(Berlin)}}は、[[ベルリン]]ミッテ地区東北部の[[プレンツラウアー・ベルク]]地区のさらに東北部にある。ベルリン中心部から約8kmの距離である。旧[[ドイツ民主共和国東ドイツ]]に当たる。中心部には白い湖と呼ばれる美しい湖があり、市民の憩いの場となっている。ブッシュアレー地区と、トリエラー通りの集合住宅に分けられる。
エレマテック株式会社,電子材料や[[電子部品]]を扱う独立系専門商社で、[[1942年]]（[[昭和]]17年）3月に創業。[[1947年]]（昭和22年）[[4月28日]]に法人化。[[2009年]]（[[平成]]21年）[[9月1日]]には大西電気株式会社を吸収合併しエレマテック株式会社に商号を変更している。[[2011年]]（平成23年）8月1日には、[[トヨタ自動車トヨタ]]系総合商社の[[豊田通商]]と資本・業務提携を締結&lt;ref&gt;{{PDFlink[http://www.elematec.com/ir/news/2011/pdf/20110801_announcement.pdf豊田通商株式会社およびエレマテック株式会社の資本業務提携契約締結のお知らせ]}}&lt;/ref&gt;。その後、豊田通商が行った[[株式公開買付けTOB]]が成立したため、[[2012年]]（平成24年）[[3月5日]]をもって同社の連結子会社となった&lt;ref&gt;{{PDFlink[http://www.elematec.com/ir/news/2012/pdf/20120228_release.pdf親会社及び主要株主である筆頭株主の異動に関するお知らせ]}}&lt;/ref&gt;。
株式会社プロダクト・イノベーション,
OCHIホールディングス株式会社,玉島地域の西南部に位置し、丘陵部と海岸沿いの平地からなる。玉島港の西部に位置する。'''柏島'''・'''柏台'''・'''勇崎'''からなる&lt;ref&gt;現在の柏島小学区には阿賀崎の一部、黒崎の一部が含まれている。&lt;/ref&gt;。古来は、北接の阿賀崎地区とともに、当地区の大部分は同名の島嶼であった&lt;refname&quot;okayamachimeijiten&quot;&gt;巌津政右衛門『岡山地名事典』（1974年）日本文教出版社&lt;/ref&gt;。玉島を代表する寺院で、'''良寛'''に所縁が深い'''円通寺'''が地区北東部、阿賀崎との境界付近に所在していることで知られる&lt;refname&quot;okayamachimeijiten&quot;/&gt;。東部の玉島港沿岸部は古くからの集落が続くが、中部の丘陵地には大型の住宅地が造成され、南部の干拓地一帯でも開発が行われている&lt;refname&quot;okayamachimeijiten&quot;/&gt;。
伊藤忠丸紅鉄鋼株式会社,[[丸紅]]と[[伊藤忠商事]]の鉄鋼製品分野を統合して設立された鉄鋼専門商社であり、両社の商権を引き継ぎ安定した顧客基盤を有する。
伯東株式会社,{{節stub}}
株式会社カナックス,[[2008年]][[10月8日]]に放送開始した、日本の地域別の[[郷土料理]]を紹介する5分間番組である。固定した地域の風景から、母親の作る料理が流れる。ナレーションは[[武田鉄矢]]（[[牧原俊幸]]&lt;refnamedaiyaku/&gt;）。[[スポンサー]]は[[東洋水産]]（「[[丸ちゃんマルちゃん]]『[[マルちゃん赤いきつねと緑のたぬき赤いきつね]]』」名義）&lt;ref&gt;『[[マルちゃん赤いきつねと緑のたぬき緑のたぬき]]』や東洋水産の新商品の麺の宣伝も流れる。&lt;/ref&gt;。2014年10月22日の「ソーキそば」の回で通算300回達成。そして[[2018年]]10月で放送10周年を迎えた。ラストに『[[母に捧げるバラード]]』と共に「明日もまた頑張ろう!おふくろもう一杯!」と武田の渾身の一言で締めている&lt;ref&gt;ナレーションが牧原俊幸の時は音楽は流れなかった。&lt;/ref&gt;。
上原成商事株式会社,[[宇部インターチェンジ宇部IC]]東側に隣接した場所に設置されている。山陽自動車道宇部下関線の開通以来、[[宇部ジャンクション宇部JCT]]-宇部IC間の通行料金収受は、[[山口宇部道路]]（山口宇部有料道路）との一体徴収により[[山口県道路公社]]が[[宇部東インターチェンジ宇部東料金所]]、[[嘉川・由良料金所]]にて行ってきたが、山口宇部道路が[[2012年]][[3月28日]]をもって無料開放され両料金所が廃止されたことから、この区間の料金を収受する施設として[[西日本高速道路]]（NEXCO西日本）によって新設された&lt;refname&quot;TB&quot;&gt;{{Citeweburlhttp://corp.w-nexco.co.jp/corporate/release/chugoku/h24/0228/title山陽自動車道宇部下関線宇部本線料金所が完成します！publisher西日本高速道路date2012-02-28accessdate2017-02-14}}&lt;/ref&gt;。
株式会社豊通マシナリー,潮岬沖から室戸岬沖の海底には、稠密かつ高精度に地震や津波等のリアルタイム観測を行うための観測機器が設置される予定で、観測データは陸上局から専用回線によりアルタイムで海洋研究開発機構や[[防災科学技術研究所]]、気象庁への配信が計画されている。[[海溝型地震]]と地震により発生する[[津波]]を常時観測監視するための、陸上局とケーブル式の海底地震計や水圧計などにより構成される。[[高知県]][[室戸市]]と[[徳島県]][[海陽町]]に設置された陸上局から総延長350km程度の基幹ケーブルをループ状に敷設した地震・津波観測システム。途中7箇所の拡張用分岐装置に30箇所程度の観測点を設置する。#通信用海底ケーブル技術を用いた高信頼性能を持つ両端陸揚げの基幹ケーブルシステム。#海底における科学観測を実施するために必要な機能が集約されたノード。#最新鋭のセンサー群から構成される交換可能な観測装置。[[強震計]]、[[広帯域地震計]]、水晶水圧計、微差圧計、[[ハイドロフォン]]、精密温度計が設置され、地殻変動のようなゆっくりした動きから大きな地振動まであらゆるタイプの海底の動きを確実に捉える。水深1500mよりも浅い海域では、[[底引き網]]から観測機器を守るため海底下1m程度に埋設される。
クリヤマホールディングス株式会社,[[1939年]]（[[昭和]]14年）の創業以来、法人顧客向けに[[ゴム]]・[[合成樹脂]]製品の販売・施工を主業として海外製品を含めた取扱商品の拡大とともに、建設・スポーツ施設分野への進出を図る。[[1968年]]（昭和43年）アメリカに現地法人を設立、[[中南米]]、[[東南アジア]]、[[中国]]市場へ展開。日本国内においては自社ブランドの育成を図り、中国、[[タイ王国タイ]]等の成長市場へ資源を投入。このようなことを背景に[[2012年]]10月に持株会社体制へ移行した。
帝人フロンティア株式会社,湯涌温泉街の最奥部に位置し、かつては、隣接した台地に当温泉最大の宿泊施設[[白雲楼ホテル]]が建てられていた。周囲は遊歩道として整備され、徒歩での散策を楽しめる。遊歩道からは、白雲楼ホテル跡地である、中の園地へ行くことができ、湖畔最奥部にはあずまや橋が架かっている。湖畔には、金沢市で毎年行われている、冬期に保存した天然の氷をいただく行事、氷室行事で使われる氷室小屋がある。
